date,total_crashes,total_segments,total_positive_segments,crash_rate,avg_crashes_last_7_days,avg_crashes_last_30_days,temperature_2m_mean,precipitation_sum,windspeed_10m_max,rain_indicator,crashes_7d_avg_city,crashes_30d_avg_city,crash_rate_7d_avg_city,crash_rate_30d_avg_city,day_of_week,month,hidden_state,state_probability_max,state_label
2018-11-17,310,11641,302,0.0259427884202388,0.2405291641611545,1.0729318787045787,4.4,0.0,21.0,0.0,392.57142857142856,411.3666666666667,0.0322628149275344,0.0336339947885347,5,11,2,1.0,High Risk Regime
2018-11-18,288,11641,275,0.0236234000515419,0.2360621939695902,1.0601322910402886,3.9,1.1,12.5,1.0,392.57142857142856,404.93333333333334,0.0322382711352731,0.033115711708616,6,11,2,1.0,High Risk Regime
2018-11-19,397,11641,382,0.0328150502534146,0.2360621939695902,1.043552959367752,6.7,0.0,10.3,0.0,405.1428571428572,404.93333333333334,0.0332200228257268,0.033127165478338,0,11,2,1.0,High Risk Regime
2018-11-20,396,11641,376,0.0322996306159264,0.2436216819860836,1.043552959367752,5.7,0.6,24.2,1.0,395.8571428571428,406.7,0.0324591652656251,0.0332588838301406,1,11,2,1.0,High Risk Regime
2018-11-21,433,11641,412,0.0353921484408555,0.2380379692466283,1.0481058328322308,3.2,0.2,30.2,1.0,398.0,408.2,0.0326555156037159,0.0333648312000687,2,11,2,1.0,High Risk Regime
2018-11-22,235,11641,228,0.0195859462245511,0.2393265183403487,1.0519714801133924,-5.0,0.0,28.4,0.0,354.7142857142857,402.46666666666664,0.0291580252064746,0.0328952266414683,3,11,2,1.0,High Risk Regime
2018-11-23,260,11641,249,0.0213899149557598,0.2132978266471952,1.0371961171720645,-4.7,0.0,19.3,0.0,331.2857142857143,396.7,0.0272926969946126,0.0324370758525899,4,11,2,1.0,High Risk Regime
2018-11-24,316,11641,299,0.0256850786014947,0.1992096898891847,1.0223348509578214,3.1,9.1,20.1,1.0,332.14285714285717,390.96666666666664,0.0272558813062206,0.0319646078515591,5,11,2,1.0,High Risk Regime
2018-11-25,301,11641,289,0.0248260458723477,0.1997251095266729,1.0075594880164935,8.2,28.1,35.0,1.0,334.0,385.6666666666667,0.02742768785205,0.0315465452567076,6,11,2,1.0,High Risk Regime
2018-11-26,432,11641,409,0.0351344386221115,0.200841852074564,0.9939008676230564,7.4,27.8,34.8,1.0,339.0,384.2,0.0277590290475781,0.031432007559488,0,11,2,1.0,High Risk Regime
2018-11-27,366,11641,354,0.0304097586118031,0.2038484666265784,0.9901211236148098,5.0,1.6,32.8,1.0,334.7142857142857,384.6333333333333,0.0274890473327033,0.0314806860808063,1,11,2,1.0,High Risk Regime
2018-11-28,326,11641,318,0.0273172407868739,0.2012713684391375,0.9912378661627008,3.4,0.0,37.4,0.0,319.42857142857144,382.2,0.0263354890964202,0.0312888354379635,2,11,2,1.0,High Risk Regime
2018-11-29,401,11641,386,0.0331586633450734,0.1920797182372648,0.9849669272399278,4.5,0.0,31.7,0.0,343.14285714285717,381.6,0.0282744486850663,0.0312458838015061,3,11,2,1.0,High Risk Regime
2018-11-30,446,11641,430,0.0369384073533201,0.2063396615411047,0.9834206683274632,2.8,1.8,12.0,1.0,369.7142857142857,382.9,0.0304956618847178,0.0313375139592818,4,11,2,1.0,High Risk Regime
2018-12-01,371,11641,359,0.0308392749763766,0.2223176703032385,0.9867708959711364,3.4,2.8,10.8,1.0,377.57142857142856,381.0,0.031231975652558,0.0312229762620622,5,12,2,1.0,High Risk Regime
2018-12-02,331,11641,314,0.0269736276952151,0.2270423503135469,0.9818744094149988,10.7,16.9,19.2,1.0,381.8571428571428,377.2,0.0315387730558248,0.0309251782492913,6,12,2,1.0,High Risk Regime
2018-12-03,428,11641,403,0.0346190189846233,0.2296194485009879,0.9720814363027231,10.4,0.0,26.8,0.0,381.2857142857143,378.8333333333333,0.0314651416790408,0.0310425793889413,0,12,2,1.0,High Risk Regime
2018-12-04,392,11641,372,0.0319560175242676,0.229275835409329,0.9762906966755434,2.6,0.0,24.1,0.0,385.0,382.6,0.0316860358093929,0.0313317870744208,1,12,2,1.0,High Risk Regime
2018-12-05,390,11641,370,0.0317842109784382,0.2315093205051112,0.9859977665149042,-1.1,0.0,16.0,0.0,394.1428571428572,379.8333333333333,0.0323241744081878,0.0311170288921341,2,12,2,1.0,High Risk Regime
2018-12-06,392,11641,376,0.0322996306159264,0.2370071299716519,0.9788677948629844,0.5,0.0,22.5,0.0,392.8571428571428,378.8,0.0322014554468811,0.0310483062738023,3,12,2,1.0,High Risk Regime
2018-12-07,417,11641,397,0.0341035993471351,0.2362340005154196,0.9762047934026288,0.6,0.0,23.2,0.0,388.7142857142857,379.1666666666667,0.0317964828745689,0.0310855310253987,4,12,2,1.0,High Risk Regime
2018-12-08,407,11641,389,0.0334163731638175,0.2337428056008934,0.9771497294046904,-1.9,0.0,19.8,0.0,393.8571428571428,379.3666666666667,0.032164639758489,0.0310883944678292,5,12,2,1.0,High Risk Regime
2018-12-09,272,11641,263,0.0225925607765655,0.2368353234258225,0.9776651490421784,-1.4,0.0,11.8,0.0,385.42857142857144,370.23333333333335,0.0315387730558248,0.0304040317269421,6,12,2,1.0,High Risk Regime
2018-12-10,383,11641,368,0.0316124044326088,0.2317670303238553,0.9541276522635512,-0.7,0.0,17.8,0.0,379.0,370.93333333333334,0.0311092566912513,0.0304870715574263,0,12,2,1.0,High Risk Regime
2018-12-11,432,11641,407,0.0349626320762821,0.2279013830426939,0.95593162099476,-0.8,0.0,18.8,0.0,384.7142857142857,375.73333333333335,0.0315387730558248,0.03085931907339,1,12,2,1.0,High Risk Regime
2018-12-12,383,11641,370,0.0317842109784382,0.2313375139592818,0.9683016922944764,1.3,0.0,17.1,0.0,383.7142857142857,378.2,0.0315387730558248,0.0310540331586633,2,12,2,1.0,High Risk Regime
2018-12-13,436,11641,411,0.0353062451679409,0.2307361910488789,0.974658534490164,1.4,1.0,21.9,1.0,390.0,377.3666666666667,0.0319682894203983,0.0309767202130401,3,12,2,1.0,High Risk Regime
2018-12-14,568,11641,533,0.045786444463534,0.2345159350571256,0.9725109526672966,6.3,1.1,17.3,1.0,411.57142857142856,382.3666666666667,0.0336372672941696,0.0313690118260172,4,12,2,1.0,High Risk Regime
2018-12-15,377,11641,360,0.0309251782492912,0.2474873292672451,0.9853964436045012,7.6,4.8,22.9,1.0,407.2857142857143,377.0,0.0332813823063801,0.0309309051341522,5,12,2,1.0,High Risk Regime
